============================================================
initialize: Rawan four motion plugin loaded
version: 3.5.4-demo-tuning-switch
mode: auto-cycle demo
design: demo/tuning switch; separate upper/lower functions per state
hip policy: rightHip always skipped/native; normal addJointDeg skips hips; Walk uses tiny safe leftHip only
walk tune: gait-style two-pulse FK cycle; stronger knee/ankle lift + opposite arm swing
tuning note: set kAutoCycleDemoMode=false in RawanFourMotionPlugin.cpp to isolate selected animations
log path: D:\N8RO_2\userPlugins\sim\rawan-four-motion-plugin.log
model plugin service found: yes
animation prototype found: animationModelNathanHuman
register Rawan Idle: yes
register Rawan Walk: yes
register Rawan Push: yes
register Rawan Climb: yes
tick: plugin is active
auto-cycle start time captured: 0.050000
evaluate requested=Rawan Idle visibleState=Rawan Walk t=49.050000 local=4.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=50.050000 local=5.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=50.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=51.050000 local=1.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=52.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=53.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=54.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=55.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=55.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=56.050000 local=1.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=57.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=58.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=59.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=60.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=60.100000 local=0.050000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=61.050000 local=1.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=62.050000 local=2.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=63.050000 local=3.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=64.050000 local=4.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=65.050000 local=5.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=65.100000 local=0.050000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=66.050000 local=1.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=67.050000 local=2.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=68.050000 local=3.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=69.050000 local=4.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=70.050000 local=5.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=70.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=71.050000 local=1.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=72.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=73.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=74.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=75.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=75.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=76.050000 local=1.000000 jointOverrides=8
